Time,TargetX0,CurrentX0,ErrorX0,PIDOutX0,FLSCorrX0,FinalCmdX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,ErrorY0,PIDOutY0,FLSCorrY0,FinalCmdY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,ErrorX1,PIDOutX1,FLSCorrX1,FinalCmdX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,ErrorY1,PIDOutY1,FLSCorrY1,FinalCmdY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,ErrorX2,PIDOutX2,FLSCorrX2,FinalCmdX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,ErrorY2,PIDOutY2,FLSCorrY2,FinalCmdY2,PTermY2,ITermY2,DTermY2,SimWindX,SimWindY
0,5,0.00833333,5,10,0,10,10,0,-0,7.3094,1.15833,6.1594,12,0,10,12.3188,0,-0,3,-1.99167,5,10,0,10,10,0,-0,3.8453,-1.99167,5.8453,11.7491,0,10,11.6906,0.058453,-0,7,2.00833,5,10,0,10,10,0,-0,3.8453,-1.99167,5.8453,11.7491,0,10,11.6906,0.058453,-0,0,0
0.05,5,0.030549,4.99167,10,0,10,9.98333,0.0499167,-0.025,7.3094,1.18055,6.15107,12,0,10,12.3021,-0.0978904,-0.025,3,-1.96945,4.99167,10,0,10,9.98333,0.0499167,-0.025,3.8453,-1.96945,5.83697,11.7658,0,10,11.6739,0.116823,-0.025,7,2.03055,4.99167,10,0,10,9.98333,0.0499167,-0.025,3.8453,-1.96945,5.83697,11.7658,0,10,11.6739,0.116823,-0.025,0,0
0.1,5,0.0702651,4.96945,9.94524,0,9.94524,9.9389,0.0954862,-0.089147,7.3094,1.22031,6.12885,12,0,10,12.2577,-0.126224,-0.089147,3,-1.92973,4.96945,9.94524,0,9.94524,9.9389,0.0954862,-0.089147,3.8453,-1.92969,5.81475,11.7153,0,10,11.6295,0.17497,-0.089147,7,2.07027,4.96945,9.94524,0,9.94524,9.9389,0.0954862,-0.089147,3.8453,-1.92969,5.81475,11.7153,0,10,11.6295,0.17497,-0.089147,0,0
0.15,5,0.129701,4.92973,9.80487,0,9.80487,9.85947,0.144784,-0.199381,7.3094,1.27999,6.08909,11.8922,0,10,12.1782,-0.0864999,-0.199518,3,-1.8703,4.92973,9.80487,0,9.80487,9.85947,0.144784,-0.199381,3.8453,-1.87001,5.77499,11.5832,0,10,11.55,0.23272,-0.199518,7,2.1297,4.92973,9.80487,0,9.80487,9.85947,0.144784,-0.199381,3.8453,-1.87001,5.77499,11.5832,0,10,11.55,0.23272,-0.199518,0,0
0.2,5,0.210029,4.8703,9.57633,0,9.57633,9.7406,0.193487,-0.357751,7.3094,1.36103,6.02942,11.674,0,10,12.0588,-0.0262057,-0.358589,3,-1.78997,4.8703,9.57633,0,9.57633,9.7406,0.193487,-0.357751,3.8453,-1.78897,5.71531,11.3619,0,10,11.4306,0.289873,-0.358589,7,2.21003,4.8703,9.57633,0,9.57633,9.7406,0.193487,-0.357751,3.8453,-1.78897,5.71531,11.3619,0,10,11.4306,0.289873,-0.358589,0,0
0.25,5,0.311613,4.78997,9.25837,0,9.25837,9.57994,0.241386,-0.562961,7.3094,1.46427,5.94837,11.3641,0,10,11.8967,0.033278,-0.565872,3,-1.68839,4.78997,9.25837,0,9.25837,9.57994,0.241386,-0.562961,3.8453,-1.68573,5.63427,11.0489,0,10,11.2685,0.346216,-0.565872,7,2.31161,4.78997,9.25837,0,9.25837,9.57994,0.241386,-0.562961,3.8453,-1.68573,5.63427,11.0489,0,10,11.2685,0.346216,-0.565872,0,0
0.3,5,0.434171,4.68839,8.85363,0,8.85363,9.37677,0.28827,-0.811414,7.3094,1.59004,5.84513,10.963,0,10,11.6903,0.0917293,-0.818993,3,-1.56583,4.68839,8.85363,0,8.85363,9.37677,0.28827,-0.811414,3.8453,-1.55996,5.53103,10.6446,0,10,11.0621,0.401526,-0.818993,7,2.43417,4.68839,8.85363,0,8.85363,9.37677,0.28827,-0.811414,3.8453,-1.55996,5.53103,10.6446,0,10,11.0621,0.401526,-0.818993,0,0
0.35,5,0.576903,4.56583,8.36764,0,8.36764,9.13166,0.333928,-1.09795,7.3094,1.73837,5.71936,10.4732,0,10,11.4387,0.148923,-1.11442,3,-1.4231,4.56583,8.36764,0,8.36764,9.13166,0.333928,-1.09795,3.8453,-1.41163,5.40526,10.1517,0,10,10.8105,0.455579,-1.11442,7,2.5769,4.56583,8.36764,0,8.36764,9.13166,0.333928,-1.09795,3.8453,-1.41163,5.40526,10.1517,0,10,10.8105,0.455579,-1.11442,0,0
0.4,5,0.738591,4.4231,7.808,0,7.808,8.84619,0.378159,-1.41635,7.3094,1.90893,5.57103,9.89873,0,9.89873,11.1421,0.204633,-1.44796,3,-1.26141,4.4231,7.808,0,7.808,8.84619,0.378159,-1.41635,3.8453,-1.24134,5.25693,9.57404,0,9.57404,10.5139,0.508148,-1.44796,7,2.73859,4.4231,7.808,0,7.808,8.84619,0.378159,-1.41635,3.8453,-1.24134,5.25693,9.57404,0,9.57404,10.5139,0.508148,-1.44796,0,0
0.45,5,0.917674,4.26141,7.18381,0,7.18381,8.52282,0.420773,-1.75978,7.3094,2.1007,5.40047,9.24474,0,9.24474,10.8009,0.258638,-1.81484,3,-1.08232,4.26141,7.18381,0,7.18381,8.52282,0.420773,-1.75978,3.8453,-1.05029,5.08664,8.91827,0,8.91827,10.1733,0.559014,-1.81403,7,2.91768,4.26141,7.18381,0,7.18381,8.52282,0.420773,-1.75978,3.8453,-1.05029,5.08664,8.91827,0,8.91827,10.1733,0.559014,-1.81403,0,0
0.5,5,1.11233,4.08233,6.5052,0,6.5052,8.16465,0.461597,-2.12105,7.3094,2.31213,5.2087,8.51948,0,8.51948,10.4174,0.310725,-2.20865,3,-0.887659,4.08232,6.50519,0,6.50519,8.16465,0.461597,-2.12106,3.8453,-0.84013,4.89559,8.19338,0,8.19338,9.79118,0.60797,-2.20577,7,3.11234,4.08232,6.50519,0,6.50519,8.16465,0.461597,-2.12106,3.8453,-0.84013,4.89559,8.19338,0,8.19338,9.79118,0.60797,-2.20577,0,0
0.55,5,1.32055,3.88767,5.7829,0,5.7829,7.77534,0.500473,-2.49292,7.3094,2.5413,4.99727,7.73316,0,7.73316,9.99455,0.360698,-2.62208,3,-0.679421,3.88766,5.78284,0,5.78284,7.77532,0.500473,-2.49295,3.8453,-0.612843,4.68543,7.41,0,7.41,9.37086,0.654825,-2.61568,7,3.32058,3.88766,5.78284,0,5.78284,7.77532,0.500473,-2.49295,3.8453,-0.612843,4.68543,7.41,0,7.41,9.37086,0.654825,-2.61568,0,0
