Time,TargetX0,CurrentX0,ErrorX0,PIDOutX0,FLSCorrX0,FinalCmdX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,ErrorY0,PIDOutY0,FLSCorrY0,FinalCmdY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,ErrorX1,PIDOutX1,FLSCorrX1,FinalCmdX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,ErrorY1,PIDOutY1,FLSCorrY1,FinalCmdY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,ErrorX2,PIDOutX2,FLSCorrX2,FinalCmdX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,ErrorY2,PIDOutY2,FLSCorrY2,FinalCmdY2,PTermY2,ITermY2,DTermY2,SimWindX,SimWindY
0,5,0.0245,5,10,0,10,15.5,0.1,-0,7.3094,1.1745,6.1594,10,0,10,19.0941,0.123188,-0,3,-1.9755,5,10,0,10,15.5,0.1,-0,3.8453,-1.9755,5.8453,10,0,10,18.1204,0.116906,-0,7,2.0245,5,10,0,10,15.5,0.1,-0,3.8453,-1.9755,5.8453,10,0,10,18.1204,0.116906,-0,0,0
0.05,5,0.07301,4.9755,10,1.26119,10,15.4241,0.19951,-1.078,7.3094,1.22301,6.1349,10,1.96419,10,19.0182,0.245886,-1.078,3,-1.92699,4.9755,10,1.26119,10,15.4241,0.19951,-1.078,3.8453,-1.92699,5.8208,10,1.50382,10,18.0445,0.233322,-1.078,7,2.07301,4.9755,10,1.26119,10,15.4241,0.19951,-1.078,3.8453,-1.92699,5.8208,10,1.50382,10,18.0445,0.233322,-1.078,0,0
0.1,5,0.14505,4.92699,10,1.46901,10,15.2737,0.29805,-2.13444,7.3094,1.29505,6.08639,10,2.25851,10,18.8678,0.367614,-2.13444,3,-1.85495,4.92699,10,1.46901,10,15.2737,0.29805,-2.13444,3.8453,-1.85495,5.77229,10,1.87881,10,17.8941,0.348768,-2.13444,7,2.14505,4.92699,10,1.46901,10,15.2737,0.29805,-2.13444,3.8453,-1.85495,5.77229,10,1.87881,10,17.8941,0.348768,-2.13444,0,0
0.15,5,0.240149,4.85495,10,1.5,10,15.0503,0.395149,-3.16975,7.3094,1.39015,6.01435,10,2.00395,10,18.6445,0.487901,-3.16975,3,-1.75985,4.85495,10,1.5,10,15.0503,0.395149,-3.16975,3.8453,-1.75985,5.70025,10,1.74612,10,17.6708,0.462773,-3.16975,7,2.24015,4.85495,10,1.5,10,15.0503,0.395149,-3.16975,3.8453,-1.75985,5.70025,10,1.74612,10,17.6708,0.462773,-3.16975,0,0
0.2,5,0.357846,4.75985,10,1.5,10,14.7555,0.490346,-4.18436,7.3094,1.50785,5.91925,10,1.84938,10,18.3497,0.606286,-4.18436,3,-1.64215,4.75985,10,1.5,10,14.7555,0.490346,-4.18436,3.8453,-1.64215,5.60515,10,1.58763,10,17.376,0.574876,-4.18436,7,2.35785,4.75985,10,1.5,10,14.7555,0.490346,-4.18436,3.8453,-1.64215,5.60515,10,1.58763,10,17.376,0.574876,-4.18436,0,0
0.25,5,0.497689,4.64215,9.7952,1.5,10,14.3907,0.583189,-5.17867,7.3094,1.64769,5.80156,10,1.7513,10,17.9848,0.722317,-5.17867,3,-1.50231,4.64215,9.7952,1.5,10,14.3907,0.583189,-5.17867,3.8453,-1.50231,5.48745,10,1.5,10,17.0111,0.684625,-5.17867,7,2.49769,4.64215,9.7952,1.5,10,14.3907,0.583189,-5.17867,3.8453,-1.50231,5.48745,10,1.5,10,17.0111,0.684625,-5.17867,0,0
0.3,5,0.65918,4.50231,8.4773,1.5,9.9773,13.9572,0.673235,-6.1531,7.3094,1.80924,5.66171,10,1.63476,10,17.5513,0.835551,-6.1531,3,-1.34082,4.50231,8.4773,1.5,9.9773,13.9572,0.673235,-6.1531,3.8453,-1.34076,5.34761,10,1.5,10,16.5776,0.791577,-6.1531,7,2.65918,4.50231,8.4773,1.5,9.9773,13.9572,0.673235,-6.1531,3.8453,-1.34076,5.34761,10,1.5,10,16.5776,0.791577,-6.1531,0,0
0.35,5,0.838537,4.34082,7.11101,1.5,8.61101,13.4565,0.760052,-7.10559,7.3094,1.99205,5.50017,10,1.50014,10,17.0505,0.945555,-7.10803,3,-1.16146,4.34082,7.11101,1.5,8.61101,13.4565,0.760052,-7.10559,3.8453,-1.15795,5.18606,9.86406,1.5,10,16.0768,0.895298,-7.10803,7,2.83854,4.34082,7.11101,1.5,8.61101,13.4565,0.760052,-7.10559,3.8453,-1.15795,5.18606,9.86406,1.5,10,16.0768,0.895298,-7.10803,0,0
0.4,5,1.03232,4.16146,5.85207,1.5,7.35207,12.9005,0.843281,-7.89174,7.3094,2.19571,5.31735,9.49182,1.5,10,16.4838,1.0519,-8.04387,3,-0.96768,4.16146,5.85207,1.5,7.35207,12.9005,0.843281,-7.89174,3.8453,-0.954385,5.00325,8.46156,1.5,9.96156,15.5101,0.995363,-8.04387,7,3.03232,4.16146,5.85207,1.5,7.35207,12.9005,0.843281,-7.89174,3.8453,-0.954385,5.00325,8.46156,1.5,9.96156,15.5101,0.995363,-8.04387,0,0
0.45,5,1.23741,3.96768,4.69598,1.5,6.19598,12.2998,0.922634,-8.52646,7.3094,2.41868,5.11369,8.04562,1.5,9.54562,15.8524,1.15418,-8.961,3,-0.762592,3.96768,4.69598,1.5,6.19598,12.2998,0.922634,-8.52646,3.8453,-0.734033,4.79968,7.01353,1.5,8.51353,14.879,1.09136,-8.95685,7,3.23741,3.96768,4.69598,1.5,6.19598,12.2998,0.922634,-8.52646,3.8453,-0.734033,4.79968,7.01353,1.5,8.51353,14.879,1.09136,-8.95685,0,0
