Time,TargetX0,CurrentX0,ErrorX0,PIDOutX0,FLSCorrX0,FinalCmdX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,ErrorY0,PIDOutY0,FLSCorrY0,FinalCmdY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,ErrorX1,PIDOutX1,FLSCorrX1,FinalCmdX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,ErrorY1,PIDOutY1,FLSCorrY1,FinalCmdY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,ErrorX2,PIDOutX2,FLSCorrX2,FinalCmdX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,ErrorY2,PIDOutY2,FLSCorrY2,FinalCmdY2,PTermY2,ITermY2,DTermY2,SimWindX,SimWindY
0,5,0.05,5,10,0,10,15.5,0,-0,7.3094,1.2,6.1594,12,0,10,19.0941,0,-0,3,-1.95,5,10,0,10,15.5,0,-0,3.8453,-1.95,5.8453,12,0,10,18.1204,0,-0,7,2.05,5,10,0,10,15.5,0,-0,3.8453,-1.95,5.8453,12,0,10,18.1204,0,-0,0,0
0.1,5,0.174764,4.95,10,1.26316,10,15.345,-2.75,-0.11,7.3094,1.32476,6.1094,12,1.90826,10,18.9391,-3.54707,-0.11,3,-1.82524,4.95,10,1.26316,10,15.345,-2.75,-0.11,3.8453,-1.82524,5.7953,12,1.49154,10,17.9654,-3.06021,-0.11,7,2.17476,4.95,10,1.26316,10,15.345,-2.75,-0.11,3.8453,-1.82524,5.7953,12,1.49154,10,17.9654,-3.06021,-0.11,0,0
0.2,5,0.385561,4.82524,10,1.5,10,14.9582,-3.79949,-0.373481,7.3094,1.53556,5.98464,12,2.11049,10,18.5524,-4.94872,-0.373481,3,-1.61444,4.82524,10,1.5,10,14.9582,-3.79949,-0.373481,3.8453,-1.61444,5.67054,12,1.76835,10,17.5787,-4.231,-0.373481,7,2.38556,4.82524,10,1.5,10,14.9582,-3.79949,-0.373481,3.8453,-1.61444,5.67054,12,1.76835,10,17.5787,-4.231,-0.373481,0,0
0.3,5,0.685918,4.61444,9.49733,1.5,10,14.3048,-4.00754,-0.799886,7.3094,1.83592,5.77384,11.7662,1.7282,10,17.8989,-5.33285,-0.799886,3,-1.31408,4.61444,9.49733,1.5,10,14.3048,-4.00754,-0.799886,3.8453,-1.31408,5.45974,11.6256,1.5,10,16.9252,-4.4997,-0.799886,7,2.68592,4.61444,9.49733,1.5,10,14.3048,-4.00754,-0.799886,3.8453,-1.31408,5.45974,11.6256,1.5,10,16.9252,-4.4997,-0.799886,0,0
0.4,5,1.07294,4.31408,8.15799,1.5,9.65799,13.3737,-3.83498,-1.38068,7.3094,2.22465,5.47348,10.4732,1.5,10,16.9678,-5.11391,-1.38068,3,-0.927065,4.31408,8.15799,1.5,9.65799,13.3737,-3.83498,-1.38068,3.8453,-0.925355,5.15938,10.3201,1.5,10,15.9941,-4.29332,-1.38068,7,3.07294,4.31408,8.15799,1.5,9.65799,13.3737,-3.83498,-1.38068,3.8453,-0.925355,5.15938,10.3201,1.5,10,15.9941,-4.29332,-1.38068,0,0
0.5,5,1.53289,3.92706,6.40195,1.5,7.90195,12.1739,-3.6779,-2.09405,7.3094,2.69759,5.08476,8.75441,1.5,10,15.7627,-4.91052,-2.09781,3,-0.467109,3.92706,6.40195,1.5,7.90195,12.1739,-3.6779,-2.09405,3.8453,-0.452406,4.77065,8.58872,1.5,10,14.789,-4.1025,-2.09781,7,3.53289,3.92706,6.40195,1.5,7.90195,12.1739,-3.6779,-2.09405,3.8453,-0.452406,4.77065,8.58872,1.5,10,14.789,-4.1025,-2.09781,0,0
0.6,5,2.04523,3.46711,4.31227,1.5,5.81227,10.748,-3.53921,-2.89655,7.3094,3.23967,4.61181,6.64203,1.5,8.14203,14.2966,-4.72605,-2.92852,3,0.0452252,3.46711,4.31227,1.5,5.81227,10.748,-3.53921,-2.89655,3.8453,0.0887795,4.29771,6.46378,1.5,7.96378,13.3229,-3.93059,-2.92852,7,4.04523,3.46711,4.31227,1.5,5.81227,10.748,-3.53921,-2.89655,3.8453,0.0887795,4.29771,6.46378,1.5,7.96378,13.3229,-3.93059,-2.92852,0,0
0.7,5,2.58216,2.95477,2.00475,0.75,2.75475,9.1598,-3.42102,-3.73403,7.3094,3.82463,4.06973,4.22466,0.75,4.97466,12.6162,-4.56326,-3.82824,3,0.582183,2.95477,2.00475,0.75,2.75475,9.1598,-3.42102,-3.73403,3.8453,0.67154,3.75652,4.03861,0.75,4.78861,11.6452,-3.78033,-3.82628,7,4.58218,2.95477,2.00475,0.75,2.75475,9.1598,-3.42102,-3.73403,3.8453,0.67154,3.75652,4.03861,0.75,4.78861,11.6452,-3.78033,-3.82628,0,0
0.8,5,3.11761,2.41784,-0.370891,0.75,0.379109,7.4953,-3.32431,-4.54189,7.3094,4.42553,3.48477,1.64659,0.75,2.39659,10.8028,-4.42387,-4.73232,3,1.11771,2.41782,-0.37101,0.75,0.37899,7.49523,-3.32431,-4.54193,3.8453,1.26879,3.17376,1.45956,0.75,2.20956,9.83866,-3.65338,-4.72572,7,5.11771,2.41782,-0.37101,0.75,0.37899,7.49523,-3.32431,-4.54193,3.8453,1.26879,3.17376,1.45956,0.75,2.20956,9.83866,-3.65338,-4.72572,0,0
0.9,5,3.62065,1.88239,-2.67928,-0.75,-3.42928,5.83542,-3.24901,-5.26568,7.3094,5.01288,2.88387,-0.949572,0,-0.949572,8.94001,-4.30852,-5.58106,3,1.62091,1.88229,-2.67981,-0.75,-3.42981,5.83511,-3.24902,-5.2659,3.8453,1.85484,2.57651,-1.13025,0.75,-0.380251,7.98717,-3.55032,-5.5671,7,5.62091,1.88229,-2.67981,-0.75,-3.42981,5.83511,-3.24902,-5.2659,3.8453,1.85484,2.57651,-1.13025,0.75,-0.380251,7.98717,-3.55032,-5.5671,0,0
1,5,4.06834,1.37935,-4.76363,-0.75,-5.51363,4.276,-3.19384,-5.8458,7.3094,5.566,2.29652,-3.4126,0.75,-2.6626,7.1192,-4.21666,-6.31514,3,2.06879,1.37909,-4.76503,-0.75,-5.51503,4.27518,-3.19385,-5.84635,3.8453,2.40308,1.99046,-3.59999,-1.11022e-16,-3.59999,6.17042,-3.4707,-6.29971,7,6.06879,1.37909,-4.76503,-0.75,-5.51503,4.27518,-3.19385,-5.84635,3.8453,2.40308,1.99046,-3.59999,-1.11022e-16,-3.59999,6.17042,-3.4707,-6.29971,0,0
1.1,5,4.44566,0.931659,-6.51458,-0.372261,-6.88684,2.88814,-3.15657,-6.24615,7.3094,6.05893,1.7434,-5.64286,-0.75,-6.39286,5.40455,-4.14692,-6.90048,3,2.44636,0.931215,-6.51688,-0.374211,-6.89109,2.88677,-3.1566,-6.24704,3.8453,2.88879,1.44222,-5.818,-0.75,-6.568,4.47087,-3.41301,-6.87586,7,6.44636,0.931215,-6.51688,-0.374211,-6.89109,2.88677,-3.1566,-6.24704,3.8453,2.88879,1.44222,-5.818,-0.75,-6.568,4.47087,-3.41301,-6.87586,0,0
1.2,5,4.73758,0.55434,-7.86758,-1.17517,-9.04275,1.71845,-3.1344,-6.45163,7.3094,6.47756,1.25047,-7.51532,0.12929,-7.38603,3.87646,-4.0969,-7.29488,3,2.73863,0.553641,-7.87117,-1.17589,-9.04705,1.71629,-3.13446,-6.453,3.8453,3.29665,0.956506,-7.66642,-0.254796,-7.92122,2.96517,-3.37475,-7.25684,7,6.73863,0.553641,-7.87117,-1.17589,-9.04705,1.71629,-3.13446,-6.453,3.8453,3.29665,0.956506,-7.66642,-0.254796,-7.92122,2.96517,-3.37475,-7.25684,0,0
1.3,5,4.93468,0.262419,-8.7591,-1.3901,-10,0.813497,-3.1239,-6.4487,7.3094,6.81142,0.831844,-8,-0.714524,-8.71452,2.57871,-4.06363,-7.48637,3,2.93621,0.261371,-8.76445,-1.39065,-10,0.81025,-3.124,-6.45069,3.8453,3.61599,0.54865,-8,-1.18098,-9.18098,1.70082,-3.3528,-7.42844,7,6.93621,0.261371,-8.76445,-1.39065,-10,0.81025,-3.124,-6.45069,3.8453,3.61599,0.54865,-8,-1.18098,-9.18098,1.70082,-3.3528,-7.42844,0,0
1.4,5,5.03424,0.065321,-9.15623,-1.46757,-10,0.202495,-3.12129,-6.23744,7.3094,7.05524,0.497983,-8,-1.22907,-9.22907,1.54375,-3.55806,-7.47223,3,3.0364,0.0637859,-9.16403,-1.4684,-10,0.197736,-3.12145,-6.24031,3.8453,3.84287,0.229309,-8,-1.40697,-9.40697,0.710859,-2.80342,-7.38814,7,7.0364,0.0637859,-9.16403,-1.4684,-10,0.197736,-3.12145,-6.24031,3.8453,3.84287,0.229309,-8,-1.40697,-9.40697,0.710859,-2.80342,-7.38814,0,0
1.5,5,5.03582,-0.0342364,-9.06151,-1.10923,-10,-0.106133,-3.12266,-5.83272,7.3094,7.20711,0.254159,-8,-1.39441,-9.39441,0.787892,-2.80462,-7.26142,3,3.0387,-0.0363984,-9.07243,-1.12153,-10,-0.112835,-3.12291,-5.83669,3.8453,3.97626,0.00243408,-8,-1.49888,-9.49888,0.00754565,-2.06297,-7.14846,7,7.0387,-0.0363984,-9.07243,-1.12153,-10,-0.112835,-3.12291,-5.83669,3.8453,3.97626,0.00243408,-8,-1.49888,-9.49888,0.00754565,-2.06297,-7.14846,0,0
1.6,5,4.94683,-0.0358231,-8.48808,-0.00176428,-8.48985,-0.111052,-3.12409,-5.25294,7.3094,7.26642,0.102291,-8,-1.43554,-9.43554,0.317103,-2.16146,-6.86939,3,2.95032,-0.0386992,-8.5025,-0.00584368,-8.50835,-0.119967,-3.12446,-5.25808,3.8453,4.017,-0.13096,-8,-1.32059,-9.32059,-0.405977,-1.46627,-6.72708,7,6.95032,-0.0386992,-8.5025,-0.00584368,-8.50835,-0.119967,-3.12446,-5.25808,3.8453,4.017,-0.13096,-8,-1.32059,-9.32059,-0.405977,-1.46627,-6.72708,0,0
1.7,5,4.78014,0.053167,-7.48902,0.877781,-6.61123,0.164818,-3.12196,-4.53187,7.3094,7.23781,0.0429772,-7.98258,-0.416415,-8.39899,0.133229,-1.80287,-6.31294,3,2.784,0.0496758,-7.50632,0.867286,-6.63903,0.153995,-3.12247,-4.53785,3.8453,3.97106,-0.1717,-7.84974,-0.286684,-8.13643,-0.532271,-1.17347,-6.144,7,6.784,0.0496758,-7.50632,0.867286,-6.63903,0.153995,-3.12247,-4.53785,3.8453,3.97106,-0.1717,-7.84974,-0.286684,-8.13643,-0.532271,-1.17347,-6.144,0,0
1.8,5,4.55234,0.219859,-6.14357,1.37876,-4.7648,0.681563,-3.11317,-3.71196,7.3094,7.13073,0.0715886,-7.19678,0.187953,-7.00883,0.221925,-1.8,-5.6187,3,2.55642,0.216,-6.16238,1.38048,-4.7819,0.669601,-3.11383,-3.71815,3.8453,3.84887,-0.12576,-6.99689,0.282473,-6.71442,-0.389857,-1.1785,-5.42853,7,6.55642,0.216,-6.16238,1.38048,-4.7819,0.669601,-3.11383,-3.71815,3.8453,3.84887,-0.12576,-6.99689,0.282473,-6.71442,-0.389857,-1.1785,-5.42853,0,0
1.9,5,4.28048,0.447664,-4.5471,1.27107,-3.27603,1.38776,-3.09526,-2.83959,7.3094,6.96123,0.178673,-6.06022,1.09849,-4.96173,0.553886,-1.79286,-4.82124,3,2.28471,0.443582,-4.56663,1.27426,-3.29238,1.37511,-3.09609,-2.84565,3.8453,3.66767,-0.0035683,-5.80656,1.26203,-4.54453,-0.0110617,-1.17865,-4.61685,7,6.28471,0.443582,-4.56663,1.27426,-3.29238,1.37511,-3.09609,-2.84565,3.8453,3.66767,-0.0035683,-5.80656,1.26203,-4.54453,-0.0110617,-1.17865,-4.61685,0,0
